species\reaction	v1_ye_uptake	v2_pdh	v3_tca	v4_resp	v5_azo	v6_efflux	v7_frag_dan	v8_frag_dhn	v9_frag_sal	v10_hub_cat	v11_frag_jac	v12_hub_pcat	v13_reint	v14_suc_recycle	v15_growth
cpd_YE_eff	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	-1
cpd00020_c0	2	-1	0	0	0	0	0	0	0	0	0	0	0	1	0
cpd00022_c0	0	1	-1	0	0	0	0	0	0	0	0	0	1	0	0
cpd00004_c0	2	1	3	-1	-6	0	0	0	0	0	0	0	0	0	0
cpd00003_c0	-2	-1	-3	1	6	0	0	0	0	0	0	0	0	0	0
cpd_AD	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0
cpd_DAN	0	0	0	0	1	0	-1	0	0	0	0	0	0	0	0
cpd_Jac	0	0	0	0	1	0	0	0	0	0	-1	0	0	0	0
cpd_bisulf	0	0	0	0	1	-1	0	0	0	0	0	0	0	0	0
cpd_bisulf_ext	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
cpd_DHN	0	0	0	0	0	0	1	-1	0	0	0	0	0	0	0
cpd00283_c0	0	0	0	0	0	0	0	1	-1	0	0	0	0	0	0
cpd00332_c0	0	0	0	0	0	0	0	0	1	-1	0	0	0	0	0
cpd00090_c0	0	0	0	0	0	0	0	0	0	0	1	-1	0	0	0
cpd00313_c0	0	0	0	0	0	0	0	0	0	1	0	1	-1	0	0
cpd00011_c0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0
cpd00078_c0	0	0	1	0	0	0	0	0	0	0	0	0	1	-1	0
cpd_biomass	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1