species\reaction	v1_ye_uptake	v2_pdh	v3_tca	v4_resp	v5_azo	v6_efflux	v7_frag_dans	v8_frag_dhn	v9_frag_sal	v10_hub_cat	v11_reint	v12_suc_recycle	v13_growth
cpd_YE_eff	-1	0	0	0	0	0	0	0	0	0	0	0	-1
cpd00020_c0	2	-1	0	0	0	0	0	0	0	0	0	1	0
cpd00022_c0	0	1	-1	0	0	0	0	0	0	0	1	0	0
cpd00004_c0	2	1	3	-1	-4	0	0	0	0	0	0	0	0
cpd00003_c0	-2	-1	-3	1	4	0	0	0	0	0	0	0	0
cpd_RC	0	0	0	0	-1	0	0	0	0	0	0	0	0
cpd_DANS	0	0	0	0	2	0	-1	0	0	0	0	0	0
cpd_benz	0	0	0	0	1	-1	0	0	0	0	0	0	0
cpd_benz_ext	0	0	0	0	0	1	0	0	0	0	0	0	0
cpd_DHN	0	0	0	0	0	0	1	-1	0	0	0	0	0
cpd00283_c0	0	0	0	0	0	0	0	1	-1	0	0	0	0
cpd00332_c0	0	0	0	0	0	0	0	0	1	-1	0	0	0
cpd00313_c0	0	0	0	0	0	0	0	0	0	1	-1	0	0
cpd00011_c0	0	1	2	0	0	0	0	0	0	0	0	0	0
cpd00078_c0	0	0	1	0	0	0	0	0	0	0	1	-1	0
cpd_biomass	0	0	0	0	0	0	0	0	0	0	0	0	1